#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
52787ec9a339c0733e52372277035078	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Eubacteriaceae	 g__Anaerofustis	 s__
e334b9f66d3e53431edc3e8ac10bebcf	k__Bacteria	Tenericutes	 c__Mollicutes	 o__Entomoplasmatales	 f__	 g__	 s__
3cf4ab286abd41ce872000ae751d48fa	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__	 g__	 s__
24d821dddfbe031b81a44817e6d6a4c1	k__Bacteria	Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacteriales	 f__Enterobacteriaceae		
46baae67682a0c41da9b49d732e16907	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
79030f9c3947f7ccc6912a851d88f50b	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Anaerotruncus	 s__
746445ddc51b056a89420d89ffc2126f	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__	 g__	 s__
87ab0a255949aabbe1a49f8578b991d1	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__[Mogibacteriaceae]	 g__	 s__
82537b9447b8e45afb87940dfcc224e0	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__Blautia	 s__
c02cb86717b668df21b2b76c470eb5fe	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Ruminococcus	 s__
6739ab5e190f712be793c9aed63e1074	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
df38d15320e9129650c153312e8d6c73	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae		
e9092302fb26b621ea095437eec21557	k__Bacteria	Actinobacteria	 c__Coriobacteriia	 o__Coriobacteriales	 f__Coriobacteriaceae	 g__Eggerthella	 s__
48b606502c00bccbbe63a25969d82139	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
7d0f44c15da83b757bf82a4b0929827b	k__Bacteria	Cyanobacteria	 c__4C0d-2	 o__YS2	 f__	 g__	 s__
32268787cfec1fba6090021e4cff017f	k__Bacteria	Tenericutes	 c__Mollicutes	 o__RF39	 f__	 g__	 s__
951082ca84ea0264a6499ecf356b4d5a	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__Clostridium	
071c6331257e5c2840dc073af3f1139e	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__Coprococcus	 s__
a9ce14730af6a3bbc15775ac5f539395	k__Bacteria	Tenericutes	 c__Mollicutes	 o__RF39	 f__	 g__	 s__
3bb59198397312546c19b58d2b460f27	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Oscillospira	 s__
4e924b2ecf3e11ac4efdcb06d3025e64	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__	 g__	 s__
8b276ff1c5e38da39c98a8384fc586ed	k__Bacteria	Acidobacteria	 c__[Chloracidobacteria]	 o__RB41	 f__	 g__	 s__
88cb0af74ebb813b249b69fb1342afe4	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
0dde7d59cbf754200c224c0f0ac16a18	k__Bacteria	Verrucomicrobia	 c__Opitutae	 o__HA64	 f__	 g__	 s__
49b5e3a2b5d5cc6397730610bc0feb1f	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
93c376c25c0140c5308497f182be09db	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales			
0238fc3beadf1d5961f202a1b85efdad	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales			
db56e5074702a5bc6ca3f45cc5dae9e5	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
f846184581cfb27f28e48badbd3cdc2c	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Oscillospira	 s__
248a2becacea56afc5264495c5b8728b	k__Bacteria	Firmicutes	 c__Erysipelotrichi	 o__Erysipelotrichales	 f__Erysipelotrichaceae	 g__Coprobacillus	 s__
046a6fb11a3220ff91ca3200bc8666c8	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__[Odoribacteraceae]	 g__Odoribacter	 s__
146ccc7623ff3aa720c05d61125a6bc9	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__[Odoribacteraceae]	 g__Odoribacter	 s__
b41d97ca68cf51f744fc90199fccee14	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
dc483423b4652f68eb84087d99ba412e	k__Bacteria	Proteobacteria	 c__Gammaproteobacteria	 o__Pasteurellales	 f__	 g__	 s__
90e38fe6b561a8f7d97340976b05d0cd	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
f31f179c0ba0b9ff9db041d5619e2d48	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Ruminococcus	 s__
ddb40b4e7173251ce7c87b8beda5dd31	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__	 g__	 s__
862d8164effc724deb26e10d80050dfb	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Porphyromonadaceae	 g__Parabacteroides	 s__
3d5b21ec3c1f0646ee21d64a7dca127b	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Porphyromonadaceae	 g__Parabacteroides	 s__
e4357a3c7febf83be19c07dda25a30c5	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
3f7a486c64016b4169a894fdd3262dc4	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Oscillospira	 s__
e250da3c1b7286692945c64e82bb845e	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
d70fc0c6e542624355b502ce737f1a2a	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Ruminococcus	 s__
0bbf49d3eff64a79a671c568daa58d6d	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Oscillospira	 s__
3d34cc837275c9c9aeec7e53724f2705	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__Blautia	 s__producta
c4d0b39c0a83bad6b96c37e76eda12be	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Rikenellaceae	 g__	 s__
335b90652b6be46d4319c3f9f60721e3	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Oscillospira	 s__
1c6681e0e62fd2d6f97f4c8b8e8649b0	k__Bacteria	Unclassified					
78c04e6690df9f7c6b8173c569cd0090	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Oscillospira	 s__
906194542e0e0dcf3cdeedbddf62c978	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales			
01a70d4b7d15afd490606a660b1c8e33	k__Bacteria	Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacteriales	 f__Enterobacteriaceae		
2fe34d37782a66fffe2df27ee9516c30	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Ruminococcus	 s__
ad0e14d1e6a778874958f9638649cd17	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae		
d81283ccb526863e6be5f283c528b928	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
72d98377c6cb0f243a35e841e5fc4c3f	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Veillonellaceae	 g__	 s__
137e85800beafe497ef216a7de9f074d	k__Bacteria	Proteobacteria	 c__Alphaproteobacteria	 o__RF32	 f__	 g__	 s__
94f52f5d20084375d412a8f68f0dc2c3	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__[Mogibacteriaceae]	 g__	 s__
a4c12955c8b869e815284c1b511ac6d0	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__[Odoribacteraceae]	 g__Odoribacter	 s__
bf552fb5591f8185ae58a12e54e1d20a	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
87ee94ddd1e87e4293c534a0bdb493f1	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Oscillospira	 s__
4a477c340ebff7f3bc610823b79e2328	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__	 s__
7b9b79b802f8de25134451c768e4f3bb	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Rikenellaceae	 g__	 s__
90b519ebfedff7c256b2da8078860c97	k__Bacteria	Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Lactobacillaceae	 g__Lactobacillus	 s__
66d16aa90855eb8eeebbe8ed1a13e2f0	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__	 g__	 s__
2d85d1a90dbaf637c6d8ef909672ac45	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
1ab7a9bc9f2b88606b28b606688db0da	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales			
2356e68432cd80eea65bbce2264e04eb	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Rikenellaceae	 g__	 s__
f30fcff7aa05e31a64283dcf83b7ddd8	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
626b211bc5b767a81baff0e352ac709b	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
5b5b53b8708c113e31da34e4fe5aeddc	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__	 g__	 s__
ba1dc6928a6d34d1a5dba7e161ba26ac	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__[Odoribacteraceae]	 g__Odoribacter	 s__
d44532ddd05c25fdbcb2a8ed35e7951e	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__[Odoribacteraceae]	 g__Odoribacter	 s__
f66afcd905d973b9daa38dcdbd569546	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
59fa75ed541752e6f0cc0e56f3fc1a87	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
8e758fab5a4814776f6159e5f1d40426	k__Bacteria	Firmicutes	 c__Bacilli	 o__Bacillales	 f__Staphylococcaceae	 g__Staphylococcus	 s__
6dcc63d099a818e8e7fafc6e3174d7d2	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
abc0a526db6aa6eeb1648544d0c09d90	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae		
0d8501b9e1e4fb0ee833387c23e5de33	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
f8f5f1f66c884a98551a996a37b2ba07	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales			
42f227f65b649d01392c1b07c5314313	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__	 s__
6a5b4e192fbac5755f576b62513141fd	k__Bacteria	Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae		
671647a7b6ca3a0f38dbc37ee2455a73	k__Bacteria	Firmicutes	 c__Erysipelotrichi	 o__Erysipelotrichales	 f__Erysipelotrichaceae	 g__Holdemania	 s__
1eb8ccd8503ebc49525110a5d9475dd8	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales			
ca79235f01779b9d67ec222459bccff0	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales			
ede3b1ec368eff139c865bf6c3ae5bff	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__Clostridium	
5d37759a56714216251f50828010d144	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
30a62605d431cd5178fed1e551911803	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales			
e59c2da7c5b0964e406b36b6a51977b3	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__	 g__	 s__
422f0b4406c66c0ad412c502174bb128	k__Bacteria	Acidobacteria	 c__[Chloracidobacteria]	 o__RB41	 f__Ellin6075	 g__	 s__
dd9f2fd3d7c05299d6b7f2b32e5947bd	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Oscillospira	 s__
5b7aff44182cd9f4604f47aff8a08c28	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__[Odoribacteraceae]	 g__Odoribacter	 s__
0ca26ab8479e83811bbe36b7969e2823	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Peptococcaceae	 g__	 s__
419dfeeb324ee204ea04ea65fe01c81e	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
7cf160c614c46fa8a5320008aa36f99c	k__Bacteria	Firmicutes	 c__Erysipelotrichi	 o__Erysipelotrichales	 f__Erysipelotrichaceae	 g__	 s__
8ad25d9ad476d1ed60e0d7321a667724	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Ruminococcus	 s__
90d4f5e96b0c6fbeac86a9999485f0af	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Oscillospira	 s__
6c03b06d543f32721c9e0014c9f9ceac	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales			
128000c6772cb8e388e7d93205a1bc22	k__Bacteria	Firmicutes	 c__Erysipelotrichi	 o__Erysipelotrichales	 f__Erysipelotrichaceae	 g__	 s__
8be2022ff505ceeb7bd66c5a32f3a7d1	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
6182df01c08e6fb3ff4411c93f6deca3	k__Bacteria	Cyanobacteria	 c__4C0d-2	 o__YS2	 f__	 g__	 s__
78a9ade298e384207d3ebe1e33399980	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__	 s__
df041c06789749b3c8eebae4dcec0650	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
1fbf9d823ddaf472cbe57190a6a9b724	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__Blautia	 s__
3c2fef14c9fe722c3d539b2260be9c46	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Anaerotruncus	 s__
09ccb9ce8dcc7f7b4f60331015f97686	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__	 g__	 s__
b9511dfe13da48d4141984c0ad3b55eb	k__Bacteria	Unclassified					
31454e9c2fa765c6f79d00856ae7412e	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Oscillospira	 s__
cc116408b956f36a3b5dee06f75b77cb	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Ruminococcus	 s__
8d235eb84dc8fd29f229f4450a1cc480	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae		
d650a2970ef576605ac639affadbd26a	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__[Odoribacteraceae]	 g__Odoribacter	 s__
f4395934ffbb17383246ff9fdd3f0ec1	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__[Odoribacteraceae]	 g__Odoribacter	 s__
991939ee78d521d7e81a1b1ca0d5d593	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__Bacteroides	 s__xylanolyticus
75901fdc9f829e3f3ab8b4bd535018b5	k__Bacteria	Actinobacteria	 c__Actinobacteria	 o__Actinomycetales	 f__Corynebacteriaceae	 g__Corynebacterium	 s__bovis
726cf0908df007cfa5e42c7299233071	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae		
667446b0db633d40a88df69080669733	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales			
141fde2384bba13b1d89a916d250873e	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Oscillospira	 s__
4a8530d808c5e21c717060e9dcde047e	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
62d9490b52985c30d4a6daed85778184	k__Bacteria	Firmicutes	 c__Erysipelotrichi	 o__Erysipelotrichales	 f__Erysipelotrichaceae		
970d93b4b6cce9a2f478426b3dcc0758	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
c7ff3380601f69e8af1fb02c88a91a24	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Ruminococcus	 s__
d1f50eaa6be1809159b16818cf2d831a	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae		
50cd083aab911d938d1ec95b952e0800	k__Bacteria	Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae	 g__	 s__
30b74bea9fd85e5c58cbba2378e58b59	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Porphyromonadaceae	 g__Parabacteroides	 s__
5497318e515a8c328a68f95975d9c7d4	k__Bacteria	Firmicutes	 c__Bacilli	 o__Bacillales	 f__Staphylococcaceae	 g__Staphylococcus	
5d1f5d4d7f3abcec9f638c9a5c061396	k__Bacteria	Proteobacteria	 c__Deltaproteobacteria	 o__Desulfovibrionales	 f__Desulfovibrionaceae	 g__	 s__
55f8103901be7e02de4760ec39767080	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Rikenellaceae	 g__	 s__
8a85c8f48fab5f2a39775c78bdea726c	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
eb8e2a47268b1f21a1c437143b001120	k__Bacteria	Proteobacteria	 c__Betaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Comamonas	 s__
76f150b419c87a2859975042233f76a8	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
09c25852892900d095dffc4ed4f0c7b7	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
98fe1bdec256f6dd8c7f7ef9bc3056fb	k__Bacteria	Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__[Chromatiaceae]	 g__Rheinheimera	 s__
b25463b96a9b165ca1573772bfbb070d	k__Bacteria	Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Lactobacillaceae	 g__Lactobacillus	 s__
e91c54f75605800ff097e5f547598e94	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__[Odoribacteraceae]	 g__Odoribacter	 s__
f6b20ec85abf487ed8e4fa371adb4694	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
c2a2ef7dd95c6c55b829b709c3fc4616	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Porphyromonadaceae	 g__Parabacteroides	 s__
ca2b13b860bbfd314969cfb49c964730	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Dehalobacteriaceae	 g__Dehalobacterium	 s__
cfe96d2865b918b7f4b46a41d3831fb0	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
d6a6c2c7402c7746ae8f3c64899b0f7f	k__Bacteria	Actinobacteria	 c__Actinobacteria	 o__Bifidobacteriales	 f__Bifidobacteriaceae	 g__Bifidobacterium	 s__
13145f7761fff8fe14387e399c140328	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Porphyromonadaceae	 g__Parabacteroides	 s__
7440aa816171ce9e81d9b67d2dda61c6	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__ovatus
43940f4669e4b916012bf71390bd9a5e	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales			
9f8d089df22b6701202846a493cceb83	k__Bacteria	Proteobacteria	 c__Alphaproteobacteria	 o__RF32	 f__	 g__	 s__
ae29d7222cca9d09ba6176b1aafc8686	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Porphyromonadaceae	 g__Parabacteroides	 s__
1aa3ac02660e8611afa03613a7a7e916	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Porphyromonadaceae		
05b7112a722763db3be466798ad4dead	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Porphyromonadaceae		
6f9e824c4fa889453c7642dab61f038f	k__Bacteria	Proteobacteria	 c__Alphaproteobacteria	 o__RF32	 f__	 g__	 s__
9a3ce3ec8a5f99330f5c7deb144226f6	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales			
e4d20a3288a79d76b62ed2da0090d0b8	k__Bacteria	Actinobacteria	 c__Coriobacteriia	 o__Coriobacteriales	 f__Coriobacteriaceae		
ae3b7b98d4acb96cadf71fd9c12c7bc6	k__Bacteria	Firmicutes	 c__Erysipelotrichi	 o__Erysipelotrichales	 f__Erysipelotrichaceae	 g__	 s__
23a1670a964403bef83e79450ec13945	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
1b20aa1f9341a8aa9ff1707ec1464090	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Anaerotruncus	 s__
3f4bf3e830d6b3af189d11c132ac74ed	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
01b9fd5019f544a251d757a652f85575	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
dea3d6e4513b30d28338b648f9833f65	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Porphyromonadaceae	 g__Parabacteroides	 s__
f9668924d5f6b4f6d0b1d5f49f121c8c	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
bf1703b850cb89d89fd040af4135d111	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Ruminococcus	 s__
