index,Phylum,Stomach,Cloaca
Sg.M.HC.10.16S,Verrucomicrobiota,-1.08094416,1.750025525
Sg.M.HC.10.16S,Unassaigned,2.239259151,-3.630807429
Sg.M.HC.10.16S,Spirochaetota,-7.227561361,-7.32242114
Sg.M.HC.10.16S,Acidobacteriota,-4.890418132,-4.985277911
Sg.M.HC.10.16S,Deferribacterota,-7.633629558,-7.728489336
Sg.M.HC.4.16S,Firmicutes,7.115935914,0.473487474
Sg.M.HC.4.16S,Bacteroidota,3.703950373,0.47349295
Sg.M.HC.4.16S,Proteobacteria,6.184216644,5.691761061
Sg.M.HC.4.16S,Desulfobacterota,0.253962828,0.474225144
Sg.M.HC.4.16S,Actinobacteriota,2.394028991,-0.56552355
Sg.M.HC.4.16S,Cyanobacteria,1.575718668,-0.917532941
Sg.M.HC.4.16S,Campilobacterota,0.371745863,10.58735955
Sg.M.HC.4.16S,Verrucomicrobiota,-0.726866425,0.474437765
Sg.M.HC.4.16S,Unassaigned,-4.897301909,-1.886985337
Sg.M.HC.4.16S,Spirochaetota,-8.58891562,-5.578599048
Sg.M.HC.4.16S,Acidobacteriota,1.60850849,-3.241455819
Sg.M.HC.4.16S,Deferribacterota,-8.994983816,-5.984667244
Sg.M.HC.5.16S,Firmicutes,6.242519681,5.028341704
Sg.M.HC.5.16S,Bacteroidota,6.279153814,1.824976614
Sg.M.HC.5.16S,Proteobacteria,10.07496629,11.93095881
Sg.M.HC.5.16S,Desulfobacterota,-0.471658655,0.61703005
Sg.M.HC.5.16S,Actinobacteriota,-1.522147178,-1.84745226
Sg.M.HC.5.16S,Cyanobacteria,-1.874156569,-2.199461651
Sg.M.HC.5.16S,Campilobacterota,2.260970613,5.893339142
Sg.M.HC.5.16S,Verrucomicrobiota,-0.471446034,0.571689883
Sg.M.HC.5.16S,Unassaigned,-2.843608965,-3.168914047
Sg.M.HC.5.16S,Spirochaetota,-6.535222676,-6.860527758
Sg.M.HC.5.16S,Acidobacteriota,-4.198079447,-4.523384529
Sg.M.HC.5.16S,Deferribacterota,-6.941290872,-7.266595954
Sg.M.HC.6.16S,Firmicutes,7.242960168,5.536536179
Sg.M.HC.6.16S,Bacteroidota,7.3284359,1.468173651
Sg.M.HC.6.16S,Proteobacteria,4.189902828,11.40553569
Sg.M.HC.6.16S,Desulfobacterota,2.292782843,1.468905845
Sg.M.HC.6.16S,Actinobacteriota,-2.067381783,-1.339257785
Sg.M.HC.6.16S,Cyanobacteria,-2.419391174,-1.691267176
Sg.M.HC.6.16S,Campilobacterota,-1.538465045,1.468899513
Sg.M.HC.6.16S,Verrucomicrobiota,4.00357325,1.469118466
Sg.M.HC.6.16S,Unassaigned,0.277879822,-2.660719572
Sg.M.HC.6.16S,Spirochaetota,-7.080457281,-6.352333283
Sg.M.HC.6.16S,Acidobacteriota,-4.743314052,-4.015190054
Sg.M.HC.6.16S,Deferribacterota,-7.486525477,-6.758401479
