index,Phylum,Cloaca,Small.intestine
Sg.M.HC.7.16S,Cyanobacteria,-0.917532941,0.064981556
Sg.M.HC.7.16S,Campilobacterota,10.58735955,3.195191744
Sg.M.HC.7.16S,Verrucomicrobiota,0.474437765,1.794220668
Sg.M.HC.7.16S,Unassaigned,-1.886985337,-4.511843336
Sg.M.HC.7.16S,Spirochaetota,-5.578599048,-7.163391115
Sg.M.HC.7.16S,Acidobacteriota,-3.241455819,-4.488116667
Sg.M.HC.7.16S,Deferribacterota,-5.984667244,-7.569459311
Sg.M.HC.8.16S,Firmicutes,5.028341704,6.48614418
Sg.M.HC.8.16S,Bacteroidota,1.824976614,5.852144672
Sg.M.HC.8.16S,Proteobacteria,11.93095881,10.16443914
Sg.M.HC.8.16S,Desulfobacterota,0.61703005,-0.961406137
Sg.M.HC.8.16S,Actinobacteriota,-1.84745226,-0.948200774
Sg.M.HC.8.16S,Cyanobacteria,-2.199461651,-0.948036354
Sg.M.HC.8.16S,Campilobacterota,5.893339142,-0.96141247
Sg.M.HC.8.16S,Verrucomicrobiota,0.571689883,-0.961193517
Sg.M.HC.8.16S,Unassaigned,-3.168914047,-2.14467816
Sg.M.HC.8.16S,Spirochaetota,-6.860527758,-5.836291871
Sg.M.HC.8.16S,Acidobacteriota,-4.523384529,-3.499148642
Sg.M.HC.8.16S,Deferribacterota,-7.266595954,-6.242360067
Sg.M.HC.9.16S,Firmicutes,5.536536179,7.026714386
Sg.M.HC.9.16S,Bacteroidota,1.468173651,7.353106324
Sg.M.HC.9.16S,Proteobacteria,11.40553569,4.332359819
Sg.M.HC.9.16S,Desulfobacterota,1.468905845,3.850337002
Sg.M.HC.9.16S,Actinobacteriota,-1.339257785,0.115176795
Sg.M.HC.9.16S,Cyanobacteria,-1.691267176,1.196089507
Sg.M.HC.9.16S,Campilobacterota,1.468899513,-3.952459871
Sg.M.HC.9.16S,Verrucomicrobiota,1.469118466,2.871181389
Sg.M.HC.9.16S,Unassaigned,-2.660719572,-3.909579514
Sg.M.HC.9.16S,Spirochaetota,-6.352333283,-6.93800029
Sg.M.HC.9.16S,Acidobacteriota,-4.015190054,-4.600857061
Sg.M.HC.9.16S,Deferribacterota,-6.758401479,-7.344068486
