index	names	Stomach	Feces
Sg.M.E.1.16S	d__Bacteria.p__Firmicutes	5.307849369852774	0
Sg.M.E.1.16S	d__Bacteria.p__Bacteroidota	5.622560114692475	0
Sg.M.E.1.16S	d__Bacteria.p__Proteobacteria	4.9492155614287086	0
Sg.M.E.1.16S	d__Bacteria.p__Desulfobacterota	2.403684289824274	0
Sg.M.E.1.16S	d__Bacteria.p__Actinobacteriota	-1.5679445941039862	0
Sg.M.E.1.16S	d__Bacteria.p__Cyanobacteria	-1.9199539852485619	0
Sg.M.E.1.16S	d__Bacteria.p__Campilobacterota	4.1954437590523295	0
Sg.M.E.1.16S	d__Bacteria.p__Verrucomicrobiota	1.7105371092643287	0
Sg.M.E.1.16S	d__Bacteria.__Unassaigned	-2.889406381531343	0
Sg.M.E.1.16S	d__Bacteria.p__Spirochaetota	-6.581020091869569	0
Sg.M.E.2.16S	d__Bacteria.p__Firmicutes	5.919716470486312	0
Sg.M.E.2.16S	d__Bacteria.p__Bacteroidota	5.8019334348299285	0
Sg.M.E.2.16S	d__Bacteria.p__Proteobacteria	5.280636511196642	0
Sg.M.E.2.16S	d__Bacteria.p__Desulfobacterota	1.2130061772494054	0
Sg.M.E.2.16S	d__Bacteria.p__Actinobacteriota	-0.9766480995886506	0
Sg.M.E.2.16S	d__Bacteria.p__Cyanobacteria	-1.3286574907332258	0
Sg.M.E.2.16S	d__Bacteria.p__Campilobacterota	1.2129998450838027	0
Sg.M.E.2.16S	d__Bacteria.p__Verrucomicrobiota	1.2132187981767846	0
Sg.M.E.2.16S	d__Bacteria.__Unassaigned	-2.298109887016007	0
Sg.M.E.2.16S	d__Bacteria.p__Spirochaetota	-5.989723597354233	0
Sg.M.E.3.16S	d__Bacteria.p__Firmicutes	7.429439316064995	0
Sg.M.E.3.16S	d__Bacteria.p__Bacteroidota	7.172443054316658	0
Sg.M.E.3.16S	d__Bacteria.p__Proteobacteria	5.200557418858084	0
Sg.M.E.3.16S	d__Bacteria.p__Desulfobacterota	0.4397799043509021	0
Sg.M.E.3.16S	d__Bacteria.p__Actinobacteriota	-1.0567271919272085	0
Sg.M.E.3.16S	d__Bacteria.p__Cyanobacteria	-1.4087365830717837	0
Sg.M.E.3.16S	d__Bacteria.p__Campilobacterota	0.43977357218529933	0
Sg.M.E.3.16S	d__Bacteria.p__Verrucomicrobiota	0.43999252527828125	0
Sg.M.E.3.16S	d__Bacteria.__Unassaigned	-2.378188979354565	0
Sg.M.E.3.16S	d__Bacteria.p__Spirochaetota	-6.069802689692791	0
Sg.M.H.1.16S	d__Bacteria.p__Firmicutes	0	5.824368968522682
Sg.M.H.1.16S	d__Bacteria.p__Bacteroidota	0	6.375152439575543
Sg.M.H.1.16S	d__Bacteria.p__Proteobacteria	0	4.881491803657525
Sg.M.H.1.16S	d__Bacteria.p__Desulfobacterota	0	2.0611486501218437
Sg.M.H.1.16S	d__Bacteria.p__Actinobacteriota	0	-2.184331557391288
Sg.M.H.1.16S	d__Bacteria.p__Cyanobacteria	0	2.1037082645406397
Sg.M.H.1.16S	d__Bacteria.p__Campilobacterota	0	-2.1975432527537055
Sg.M.H.1.16S	d__Bacteria.p__Verrucomicrobiota	0	3.0687891605842266
Sg.M.H.1.16S	d__Bacteria.__Unassaigned	0	-2.6972545945551247
Sg.M.H.1.16S	d__Bacteria.p__Spirochaetota	0	-6.388868304893351
Sg.M.H.2.16S	d__Bacteria.p__Firmicutes	0	6.765374537663499
Sg.M.H.2.16S	d__Bacteria.p__Bacteroidota	0	6.224734651187082
Sg.M.H.2.16S	d__Bacteria.p__Proteobacteria	0	4.771950548798358
Sg.M.H.2.16S	d__Bacteria.p__Desulfobacterota	0	2.2994664190089154
Sg.M.H.2.16S	d__Bacteria.p__Actinobacteriota	0	-2.106356438579396
Sg.M.H.2.16S	d__Bacteria.p__Cyanobacteria	0	-2.10619201866603
Sg.M.H.2.16S	d__Bacteria.p__Campilobacterota	0	2.2994664190089154
Sg.M.H.2.16S	d__Bacteria.p__Verrucomicrobiota	0	2.2225053778727872
Sg.M.H.2.16S	d__Bacteria.__Unassaigned	0	-2.806795849414291
Sg.M.H.2.16S	d__Bacteria.p__Spirochaetota	0	-6.498409559752517
Sg.M.H.3.16S	d__Bacteria.p__Firmicutes	0	8.138968734656812
Sg.M.H.3.16S	d__Bacteria.p__Bacteroidota	0	7.22673069323328
Sg.M.H.3.16S	d__Bacteria.p__Proteobacteria	0	3.993598007740215
Sg.M.H.3.16S	d__Bacteria.p__Desulfobacterota	0	2.814943011398569
Sg.M.H.3.16S	d__Bacteria.p__Actinobacteriota	0	-2.2636866030450777
Sg.M.H.3.16S	d__Bacteria.p__Cyanobacteria	0	-2.615695994189653
Sg.M.H.3.16S	d__Bacteria.p__Campilobacterota	0	1.7163307227304592
Sg.M.H.3.16S	d__Bacteria.p__Verrucomicrobiota	0	4.473171088002101
Sg.M.H.3.16S	d__Bacteria.__Unassaigned	0	-3.5851483904724346
Sg.M.H.3.16S	d__Bacteria.p__Spirochaetota	0	-7.27676210081066
Sg.M.H.10.16S	d__Bacteria.p__Firmicutes	0	6.738197161844331
Sg.M.H.10.16S	d__Bacteria.p__Bacteroidota	0	6.398046701841583
Sg.M.H.10.16S	d__Bacteria.p__Proteobacteria	0	6.2494398880815325
Sg.M.H.10.16S	d__Bacteria.p__Desulfobacterota	0	3.500309661235858
Sg.M.H.10.16S	d__Bacteria.p__Actinobacteriota	0	-3.1231050765131068
Sg.M.H.10.16S	d__Bacteria.p__Cyanobacteria	0	-3.1229406565997406
