q,Site1,Site2,DT,Non_lethal,Turnover
2,Sg.M.H.1.16S,Sg.M.E.1.16S,Stomach,Feces,0.273522637
2,Sg.M.H.10.16S,Sg.M.E.1.16S,Stomach,Feces,0.728479214
2,Sg.M.H.2.16S,Sg.M.E.1.16S,Stomach,Feces,0.680957726
2,Sg.M.H.3.16S,Sg.M.E.1.16S,Stomach,Feces,0.496737325
2,Sg.M.H.4.16S,Sg.M.E.1.16S,Stomach,Feces,0.936957915
2,Sg.M.H.5.16S,Sg.M.E.1.16S,Stomach,Feces,0.825530578
2,Sg.M.H.6.16S,Sg.M.E.1.16S,Stomach,Feces,0.580966947
2,Sg.M.H.7.16S,Sg.M.E.1.16S,Stomach,Feces,0.766133678
2,Sg.M.H.8.16S,Sg.M.E.1.16S,Stomach,Feces,0.800719089
2,Sg.M.H.9.16S,Sg.M.E.1.16S,Stomach,Feces,0.761595138
2,Sg.M.HC.1.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.436551598
2,Sg.M.HC.10.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.74483878
2,Sg.M.HC.2.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.291174169
2,Sg.M.HC.3.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.643397849
2,Sg.M.HC.4.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.937680177
2,Sg.M.HC.5.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.985889027
2,Sg.M.HC.6.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.866266763
2,Sg.M.HC.7.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.700410361
2,Sg.M.HC.8.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.992637574
2,Sg.M.HC.9.16S,Sg.M.E.1.16S,Stomach,Cloaca,0.971508875
2,Sg.M.H.1.16S,Sg.M.E.10.16S,Stomach,Feces,0.572899649
2,Sg.M.H.10.16S,Sg.M.E.10.16S,Stomach,Feces,0.184766467
2,Sg.M.H.2.16S,Sg.M.E.10.16S,Stomach,Feces,0.732438517
2,Sg.M.H.3.16S,Sg.M.E.10.16S,Stomach,Feces,0.661497242
2,Sg.M.H.4.16S,Sg.M.E.10.16S,Stomach,Feces,0.859905942
2,Sg.M.H.5.16S,Sg.M.E.10.16S,Stomach,Feces,0.693943841
2,Sg.M.H.6.16S,Sg.M.E.10.16S,Stomach,Feces,0.606956974
2,Sg.M.H.7.16S,Sg.M.E.10.16S,Stomach,Feces,0.650248562
2,Sg.M.H.8.16S,Sg.M.E.10.16S,Stomach,Feces,0.789870134
2,Sg.M.H.9.16S,Sg.M.E.10.16S,Stomach,Feces,0.518870156
2,Sg.M.HC.1.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.994726712
2,Sg.M.HC.10.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.466710209
2,Sg.M.HC.2.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.543933735
2,Sg.M.HC.3.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.992670396
2,Sg.M.HC.4.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.959775623
2,Sg.M.HC.5.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.98632257
2,Sg.M.HC.6.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.907086352
2,Sg.M.HC.7.16S,Sg.M.E.10.16S,Stomach,Cloaca,1
2,Sg.M.HC.8.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.973351463
2,Sg.M.HC.9.16S,Sg.M.E.10.16S,Stomach,Cloaca,0.962274258
2,Sg.M.H.1.16S,Sg.M.E.2.16S,Stomach,Feces,0.446430582
2,Sg.M.H.10.16S,Sg.M.E.2.16S,Stomach,Feces,0.7223376
2,Sg.M.H.2.16S,Sg.M.E.2.16S,Stomach,Feces,0.69889381
