OTUID	Sg.M.HC.1.16S	Sg.M.HC.2.16S	Sg.M.HC.3.16S	Sg.M.HC.10.16S	Sg.M.HC.4.16S	Sg.M.HC.5.16S	Sg.M.HC.6.16S	Sg.M.HC.7.16S	Sg.M.HC.8.16S	Sg.M.HC.9.16S	Sg.M.R.1.16S	Sg.M.R.2.16S	Sg.M.R.3.16S	Sg.M.R.10.16S	Sg.M.R.4.16S	Sg.M.R.5.16S	Sg.M.R.6.16S	Sg.M.R.7.16S	Sg.M.R.8.16S	Sg.M.R.9.16S
4096d6766b0fdcbaf2b2aa5ceed02cd4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401	0	0	0	0
16c4c6dcf8f6aecc742df79b207beae8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bc4c2db62ffa3b2bd91450e6c3d09bbf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ee3ec613cfcb6e74ad505dc202277eea	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	78	202	0	0	0
c6c3749b461fefb9e7e3625da56d010c	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
09ccb9ce8dcc7f7b4f60331015f97686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
0a55ab9827a6d0ebc61bbb4c07ec938c	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	190
bcfcb507786172504987dcf47044c277	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
e1ec861fd4fde5be3b1c9e36ebc29cb0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
50fe6207dec5ee65a8e668d944b6faf9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
618b07d29ecdd57b808504bd3f5a6c83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0
a9ce14730af6a3bbc15775ac5f539395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
6570dcebd18a2a63e61890541d762546	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
d80afeb9fb89348e68fc6d03757da525	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	30	0	0	0
e9092302fb26b621ea095437eec21557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
583229f07ecffe26f713680165a7d577	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	22	0	0	13	12
95d5c26e5a939615d46e26659e68afcb	0	52	20	16	0	0	43	0	0	0	22	496	201	213	0	351	778	13	176	210
c82870cd9d4730bc71f54e84a677293a	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	14	0
17d2296cc942354209a747a1252cc6ba	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	16	0	0	0	0
462e83448fdf7cc3f7b447f093519d8e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a8eb3e86e896febff5f3e223f84ba94b	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	1554	0	413	0
21e2be827b1668901a7c848343013d23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b8434e91b093bfbbec4cab80705bb363	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	22
48442b4d6ae7d85b597d423662134c97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0
4e44c40ec88103ebb8cf8af36ecf1289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6b03764ef165ae4741abcd2e8b93cd1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
475eb8f5607bc77cdc60cd5b7e36a8ff	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	21	45	0	32
f43c56d983a42f7661f4527ef440cdae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125
e305e68d82ce28587688e21479664794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e3e1cce0e179366fa0240d8a8db6c78f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
d987ea00be2d0b7202a3e30053ea4a8f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4d25c48e77fb8917c80f39b3351603ca	44	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26df44ea47f9f58e4905d7326f74c2e2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0bb9c8d305574b3077d05d9c663ca49c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8d999c682032ed3eb80c97d0f6f81614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4a9724d292d19c24500e55edd63bc95f	0	38	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0
ede3b1ec368eff139c865bf6c3ae5bff	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e6d4211c886ef09dc5fb9a548b37647d	0	87	0	0	0	0	0	0	0	0	71	0	0	313	10	197	204	1206	101	0
fc34bd79fdad486db4efc09066464bf0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62874fe53b208362936c4dcee157eec4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	49	0
17c2d0ecc8d210a2f48e1d675de70adb	0	7	0	5	0	0	0	0	0	0	10	0	0	43	0	0	20	74	16	9
900df8f4333124df384db9012a905941	0	0	0	331	577	377	2605	0	2005	849	0	0	0	0	1978	0	447	0	94	96
d7588aeeb977c28669ec2683d2143331	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	93	174	0	0
18e75dc941a5259ffc90e22141a67b4f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
cda3d0494eb8bb753c982caa9dac7676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126
5f944efd5bd971237c1cce9761d56e2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0
929805da29bce3a9838d81700d0a5770	0	130	31	40	0	11	654	0	8	0	70	136	215	909	30	595	6705	953	786	69
5dcb8be6207a0ee0d9314175ba9b65e8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0
f0473e08062b5eb409702ccbc1619f12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e13530b3591c561175f61a46ccf146de	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0
35175c044df8ae95f804b7b93b82225f	0	0	0	0	0	0	44	0	0	0	0	0	0	49	0	0	758	158	26	0
4f614c4d867a7c431e21696122280d94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
7b9b79b802f8de25134451c768e4f3bb	0	0	0	0	0	0	0	0	0	0	0	54	55	0	0	0	0	0	37	208
9a44044552ef4b3f57c9c2791535c428	0	7	0	0	0	0	0	0	0	0	7	0	0	0	0	18	0	58	48	0
5d2d4a21d916e214a93e99ff5eaab882	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0
df348a5cb8d8623f5d78299335880cf1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	76	0	0	0
4a8530d808c5e21c717060e9dcde047e	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	272	0	0	0
d757664837fdfefb4f89ff86da63cd07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45
