q,Site1,Site2,DT,Non_lethal,Turnover
1,Sg.M.H.2.16S,Sg.M.E.3.16S,Stomach,Feces,0.50087847
1,Sg.M.H.3.16S,Sg.M.E.3.16S,Stomach,Feces,0.325217337
1,Sg.M.H.4.16S,Sg.M.E.3.16S,Stomach,Feces,0.759675119
1,Sg.M.H.5.16S,Sg.M.E.3.16S,Stomach,Feces,0.631642374
1,Sg.M.H.6.16S,Sg.M.E.3.16S,Stomach,Feces,0.496388874
1,Sg.M.H.7.16S,Sg.M.E.3.16S,Stomach,Feces,0.57736679
1,Sg.M.H.8.16S,Sg.M.E.3.16S,Stomach,Feces,0.574462738
1,Sg.M.H.9.16S,Sg.M.E.3.16S,Stomach,Feces,0.652875191
1,Sg.M.HC.1.16S,Sg.M.E.3.16S,Stomach,Cloaca,0.725862958
1,Sg.M.HC.10.16S,Sg.M.E.3.16S,Stomach,Cloaca,0.718085317
1,Sg.M.HC.2.16S,Sg.M.E.3.16S,Stomach,Cloaca,0.328640974
1,Sg.M.HC.3.16S,Sg.M.E.3.16S,Stomach,Cloaca,0.708687547
1,Sg.M.HC.4.16S,Sg.M.E.3.16S,Stomach,Cloaca,0.946029638
1,Sg.M.HC.5.16S,Sg.M.E.3.16S,Stomach,Cloaca,0.964879969
1,Sg.M.HC.6.16S,Sg.M.E.3.16S,Stomach,Cloaca,0.751119387
1,Sg.M.HC.7.16S,Sg.M.E.3.16S,Stomach,Cloaca,0.988095136
1,Sg.M.HC.8.16S,Sg.M.E.3.16S,Stomach,Cloaca,0.984062548
1,Sg.M.HC.9.16S,Sg.M.E.3.16S,Stomach,Cloaca,0.964399523
1,Sg.M.H.1.16S,Sg.M.E.4.16S,Stomach,Feces,0.955139159
1,Sg.M.H.10.16S,Sg.M.E.4.16S,Stomach,Feces,0.928790526
1,Sg.M.H.2.16S,Sg.M.E.4.16S,Stomach,Feces,0.908021711
1,Sg.M.H.3.16S,Sg.M.E.4.16S,Stomach,Feces,0.920813288
1,Sg.M.H.4.16S,Sg.M.E.4.16S,Stomach,Feces,0.927109555
1,Sg.M.H.5.16S,Sg.M.E.4.16S,Stomach,Feces,0.928906101
1,Sg.M.H.6.16S,Sg.M.E.4.16S,Stomach,Feces,0.920144269
1,Sg.M.H.7.16S,Sg.M.E.4.16S,Stomach,Feces,0.956594874
1,Sg.M.H.8.16S,Sg.M.E.4.16S,Stomach,Feces,0.931065897
1,Sg.M.H.9.16S,Sg.M.E.4.16S,Stomach,Feces,0.94759241
1,Sg.M.HC.1.16S,Sg.M.E.4.16S,Stomach,Cloaca,0.986490499
1,Sg.M.HC.10.16S,Sg.M.E.4.16S,Stomach,Cloaca,0.904189875
1,Sg.M.HC.2.16S,Sg.M.E.4.16S,Stomach,Cloaca,0.949332681
1,Sg.M.HC.3.16S,Sg.M.E.4.16S,Stomach,Cloaca,0.910596695
1,Sg.M.HC.4.16S,Sg.M.E.4.16S,Stomach,Cloaca,0.964963542
1,Sg.M.HC.5.16S,Sg.M.E.4.16S,Stomach,Cloaca,0.961309447
1,Sg.M.HC.6.16S,Sg.M.E.4.16S,Stomach,Cloaca,0.92789718
1,Sg.M.HC.7.16S,Sg.M.E.4.16S,Stomach,Cloaca,1
1,Sg.M.HC.8.16S,Sg.M.E.4.16S,Stomach,Cloaca,0.961975072
1,Sg.M.HC.9.16S,Sg.M.E.4.16S,Stomach,Cloaca,0.965363814
1,Sg.M.H.1.16S,Sg.M.E.5.16S,Stomach,Feces,0.889435605
1,Sg.M.H.10.16S,Sg.M.E.5.16S,Stomach,Feces,0.859692547
1,Sg.M.H.2.16S,Sg.M.E.5.16S,Stomach,Feces,0.871481097
1,Sg.M.H.3.16S,Sg.M.E.5.16S,Stomach,Feces,0.871004011
1,Sg.M.H.4.16S,Sg.M.E.5.16S,Stomach,Feces,0.877802025
1,Sg.M.H.5.16S,Sg.M.E.5.16S,Stomach,Feces,0.814294118
1,Sg.M.H.6.16S,Sg.M.E.5.16S,Stomach,Feces,0.849617934
1,Sg.M.H.7.16S,Sg.M.E.5.16S,Stomach,Feces,0.822582219
1,Sg.M.H.8.16S,Sg.M.E.5.16S,Stomach,Feces,0.821795241
1,Sg.M.H.9.16S,Sg.M.E.5.16S,Stomach,Feces,0.927644944
1,Sg.M.HC.1.16S,Sg.M.E.5.16S,Stomach,Cloaca,0.963848963
1,Sg.M.HC.10.16S,Sg.M.E.5.16S,Stomach,Cloaca,0.902393905
1,Sg.M.HC.2.16S,Sg.M.E.5.16S,Stomach,Cloaca,0.882224705
1,Sg.M.HC.3.16S,Sg.M.E.5.16S,Stomach,Cloaca,0.90244982
1,Sg.M.HC.4.16S,Sg.M.E.5.16S,Stomach,Cloaca,0.950542748
1,Sg.M.HC.5.16S,Sg.M.E.5.16S,Stomach,Cloaca,0.937007175
1,Sg.M.HC.6.16S,Sg.M.E.5.16S,Stomach,Cloaca,0.893369309
1,Sg.M.HC.7.16S,Sg.M.E.5.16S,Stomach,Cloaca,1
1,Sg.M.HC.8.16S,Sg.M.E.5.16S,Stomach,Cloaca,0.946365387
1,Sg.M.HC.9.16S,Sg.M.E.5.16S,Stomach,Cloaca,0.955501502
1,Sg.M.H.1.16S,Sg.M.E.6.16S,Stomach,Feces,0.918183849
1,Sg.M.H.10.16S,Sg.M.E.6.16S,Stomach,Feces,0.945020739
1,Sg.M.H.2.16S,Sg.M.E.6.16S,Stomach,Feces,0.935767241
1,Sg.M.H.3.16S,Sg.M.E.6.16S,Stomach,Feces,0.930175478
1,Sg.M.H.4.16S,Sg.M.E.6.16S,Stomach,Feces,0.93326538
1,Sg.M.H.5.16S,Sg.M.E.6.16S,Stomach,Feces,0.932818321
1,Sg.M.H.6.16S,Sg.M.E.6.16S,Stomach,Feces,0.904268493
1,Sg.M.H.7.16S,Sg.M.E.6.16S,Stomach,Feces,0.906007241
1,Sg.M.H.8.16S,Sg.M.E.6.16S,Stomach,Feces,0.888448904
1,Sg.M.H.9.16S,Sg.M.E.6.16S,Stomach,Feces,0.946698686
1,Sg.M.HC.1.16S,Sg.M.E.6.16S,Stomach,Cloaca,0.979364325
1,Sg.M.HC.10.16S,Sg.M.E.6.16S,Stomach,Cloaca,0.956391815
1,Sg.M.HC.2.16S,Sg.M.E.6.16S,Stomach,Cloaca,0.921033071
1,Sg.M.HC.3.16S,Sg.M.E.6.16S,Stomach,Cloaca,0.958510604
1,Sg.M.HC.4.16S,Sg.M.E.6.16S,Stomach,Cloaca,0.997420357
