q,ID1,ID2,beta,LocalOverlap,RegionalOverlap,Homogeneity,TurnoverComp,DT,Non_lethal,Turnover
1,Sg.M.E.7.16S,Sg.M.H.7.16S,1.9237361,0.056089098,0.056089098,0.03964364,0.0762639,Stomach,Feces,0.9237361
2,Sg.M.E.7.16S,Sg.M.H.7.16S,1.966675015,0.016944836,0.033324985,0.016944836,0.033324985,Stomach,Feces,0.966675015
0,Sg.M.I.7.16S,Sg.M.H.7.16S,1.310204082,0.689795918,0.526479751,0.526479751,0.689795918,Intestine,Feces,0.310204082
1,Sg.M.I.7.16S,Sg.M.H.7.16S,1.157884692,0.788508411,0.788508411,0.727287712,0.842115308,Intestine,Feces,0.157884692
2,Sg.M.I.7.16S,Sg.M.H.7.16S,1.140144919,0.754162972,0.859855081,0.754162972,0.859855081,Intestine,Feces,0.140144919
0,Sg.M.R.7.16S,Sg.M.H.7.16S,1.342205323,0.657794677,0.490084986,0.490084986,0.657794677,Rectum,Feces,0.342205323
1,Sg.M.R.7.16S,Sg.M.H.7.16S,1.239687173,0.690023888,0.690023888,0.613310231,0.760312827,Rectum,Feces,0.239687173
2,Sg.M.R.7.16S,Sg.M.H.7.16S,1.289003341,0.551586358,0.710996659,0.551586358,0.710996659,Rectum,Feces,0.289003341
0,Sg.M.E.8.16S,Sg.M.H.8.16S,1.881040892,0.118959108,0.063241107,0.063241107,0.118959108,Stomach,Feces,0.881040892
1,Sg.M.E.8.16S,Sg.M.H.8.16S,1.943179604,0.041580748,0.041580748,0.029240939,0.056820396,Stomach,Feces,0.943179604
2,Sg.M.E.8.16S,Sg.M.H.8.16S,1.992941326,0.003541837,0.007058674,0.003541837,0.007058674,Stomach,Feces,0.992941326
0,Sg.M.I.8.16S,Sg.M.H.8.16S,1.772241993,0.227758007,0.128514056,0.128514056,0.227758007,Intestine,Feces,0.772241993
1,Sg.M.I.8.16S,Sg.M.H.8.16S,1.91815076,0.060283884,0.060283884,0.042670911,0.08184924,Intestine,Feces,0.91815076
2,Sg.M.I.8.16S,Sg.M.H.8.16S,1.995766016,0.002121483,0.004233984,0.002121483,0.004233984,Intestine,Feces,0.995766016
0,Sg.M.R.8.16S,Sg.M.H.8.16S,1.321063395,0.678936605,0.513931889,0.513931889,0.678936605,Rectum,Feces,0.321063395
1,Sg.M.R.8.16S,Sg.M.H.8.16S,1.118851996,0.837980793,0.837980793,0.787546527,0.881148004,Rectum,Feces,0.118851996
2,Sg.M.R.8.16S,Sg.M.H.8.16S,1.090160413,0.834592393,0.909839587,0.834592393,0.909839587,Rectum,Feces,0.090160413
0,Sg.M.E.9.16S,Sg.M.H.9.16S,1.848101266,0.151898734,0.082191781,0.082191781,0.151898734,Stomach,Feces,0.848101266
1,Sg.M.E.9.16S,Sg.M.H.9.16S,1.726651776,0.212022845,0.212022845,0.158311148,0.273348224,Stomach,Feces,0.726651776
2,Sg.M.E.9.16S,Sg.M.H.9.16S,1.684804932,0.187081046,0.315195068,0.187081046,0.315195068,Stomach,Feces,0.684804932
0,Sg.M.I.9.16S,Sg.M.H.9.16S,1.440715884,0.559284116,0.388198758,0.388198758,0.559284116,Intestine,Feces,0.440715884
1,Sg.M.I.9.16S,Sg.M.H.9.16S,1.261147427,0.665263065,0.665263065,0.585857416,0.738852573,Intestine,Feces,0.261147427
2,Sg.M.I.9.16S,Sg.M.H.9.16S,1.285089015,0.556312424,0.714910985,0.556312424,0.714910985,Intestine,Feces,0.285089015
0,Sg.M.R.9.16S,Sg.M.H.9.16S,1.39408867,0.60591133,0.434628975,0.434628975,0.60591133,Rectum,Feces,0.39408867
1,Sg.M.R.9.16S,Sg.M.H.9.16S,1.20688596,0.728710639,0.728710639,0.6571574,0.79311404,Rectum,Feces,0.20688596
2,Sg.M.R.9.16S,Sg.M.H.9.16S,1.206376002,0.657857912,0.793623998,0.657857912,0.793623998,Rectum,Feces,0.206376002
0,Sg.M.E.10.16S,Sg.M.HC.10.16S,1.595041322,0.404958678,0.25388601,0.25388601,0.404958678,Stomach,Cloaca,0.595041322
1,Sg.M.E.10.16S,Sg.M.HC.10.16S,1.559545579,0.358874282,0.358874282,0.282424846,0.440454421,Stomach,Cloaca,0.559545579
2,Sg.M.E.10.16S,Sg.M.HC.10.16S,1.584963518,0.261858697,0.415036482,0.261858697,0.415036482,Stomach,Cloaca,0.584963518
