index,Phylum,Cloaca,Rectum
Sg.M.HC.7.16S,Campilobacterota,10.58735955,3.487803132
Sg.M.HC.7.16S,Verrucomicrobiota,0.474437765,2.292652917
Sg.M.HC.7.16S,Unassaigned,-1.886985337,-4.478023868
Sg.M.HC.7.16S,Spirochaetota,-5.578599048,-7.730752565
Sg.M.HC.7.16S,Acidobacteriota,-3.241455819,-5.393609336
Sg.M.HC.7.16S,Deferribacterota,-5.984667244,-8.136820762
Sg.M.HC.8.16S,Firmicutes,5.028341704,7.802336067
Sg.M.HC.8.16S,Bacteroidota,1.824976614,6.993529558
Sg.M.HC.8.16S,Proteobacteria,11.93095881,4.411580919
Sg.M.HC.8.16S,Desulfobacterota,0.61703005,3.988204885
Sg.M.HC.8.16S,Actinobacteriota,-1.84745226,-2.926916076
Sg.M.HC.8.16S,Cyanobacteria,-2.199461651,0.262511457
Sg.M.HC.8.16S,Campilobacterota,5.893339142,-2.940127771
Sg.M.HC.8.16S,Verrucomicrobiota,0.571689883,3.951390911
Sg.M.HC.8.16S,Unassaigned,-3.168914047,-2.897247415
Sg.M.HC.8.16S,Spirochaetota,-6.860527758,-6.858779189
Sg.M.HC.8.16S,Acidobacteriota,-4.523384529,-4.521635961
Sg.M.HC.8.16S,Deferribacterota,-7.266595954,-7.264847386
Sg.M.HC.9.16S,Firmicutes,5.536536179,7.000184081
Sg.M.HC.9.16S,Bacteroidota,1.468173651,7.391140149
Sg.M.HC.9.16S,Proteobacteria,11.40553569,4.382469129
Sg.M.HC.9.16S,Desulfobacterota,1.468905845,3.691221285
Sg.M.HC.9.16S,Actinobacteriota,-1.339257785,0.132070937
Sg.M.HC.9.16S,Cyanobacteria,-1.691267176,0.314392494
Sg.M.HC.9.16S,Campilobacterota,1.468899513,-3.699176951
Sg.M.HC.9.16S,Verrucomicrobiota,1.469118466,3.176593375
Sg.M.HC.9.16S,Unassaigned,-2.660719572,-3.656296594
Sg.M.HC.9.16S,Spirochaetota,-6.352333283,-6.887890979
Sg.M.HC.9.16S,Acidobacteriota,-4.015190054,-4.55074775
Sg.M.HC.9.16S,Deferribacterota,-6.758401479,-7.293959176
