index	Phylum	Feces	Rectum
Sg.M.H.7.16S	Unassaigned	-4.072375768	-4.478023868
Sg.M.H.7.16S	Spirochaetota	-7.763989479	-7.730752565
Sg.M.H.7.16S	Acidobacteriota	-5.42684625	-5.393609336
Sg.M.H.7.16S	Deferribacterota	-8.170057675	-8.136820762
Sg.M.H.8.16S	Firmicutes	8.188689717	7.802336067
Sg.M.H.8.16S	Bacteroidota	7.311791859	6.993529558
Sg.M.H.8.16S	Proteobacteria	6.086245884	4.411580919
Sg.M.H.8.16S	Desulfobacterota	3.662386957	3.988204885
Sg.M.H.8.16S	Actinobacteriota	-3.32449302	-2.926916076
Sg.M.H.8.16S	Cyanobacteria	1.637279766	0.262511457
Sg.M.H.8.16S	Campilobacterota	0.45862477	-2.940127771
Sg.M.H.8.16S	Verrucomicrobiota	3.707059397	3.951390911
Sg.M.H.8.16S	Unassaigned	-4.645954808	-2.897247415
Sg.M.H.8.16S	Spirochaetota	-8.337568518	-6.858779189
Sg.M.H.8.16S	Acidobacteriota	-6.000425289	-4.521635961
Sg.M.H.8.16S	Deferribacterota	-8.743636715	-7.264847386
Sg.M.H.9.16S	Firmicutes	6.761660125	7.000184081
Sg.M.H.9.16S	Bacteroidota	7.306404703	7.391140149
Sg.M.H.9.16S	Proteobacteria	5.083105029	4.382469129
Sg.M.H.9.16S	Desulfobacterota	2.794409048	3.691221285
Sg.M.H.9.16S	Actinobacteriota	-2.781485062	0.132070937
Sg.M.H.9.16S	Cyanobacteria	1.218872688	0.314392494
Sg.M.H.9.16S	Campilobacterota	-2.794696757	-3.699176951
Sg.M.H.9.16S	Verrucomicrobiota	1.794236832	3.176593375
Sg.M.H.9.16S	Unassaigned	-2.751816401	-3.656296594
Sg.M.H.9.16S	Spirochaetota	-6.187255079	-6.887890979
Sg.M.H.9.16S	Acidobacteriota	-3.850111851	-4.55074775
Sg.M.H.9.16S	Deferribacterota	-6.593323276	-7.293959176
